,Date,AQI,Sample_Duration,Pollutant_Type
421,1982-05-19,0,1 HOUR,42401
422,1982-05-20,0,1 HOUR,42401
423,1982-05-20,0,1 HOUR,42401
424,1982-05-21,0,1 HOUR,42401
425,1982-05-21,0,1 HOUR,42401
426,1982-05-22,0,1 HOUR,42401
427,1982-05-22,0,1 HOUR,42401
428,1982-05-23,0,1 HOUR,42401
429,1982-05-23,0,1 HOUR,42401
430,1982-05-24,0,1 HOUR,42401
431,1982-05-24,0,1 HOUR,42401
432,1982-05-25,0,1 HOUR,42401
433,1982-05-25,0,1 HOUR,42401
434,1982-05-26,0,1 HOUR,42401
435,1982-05-26,0,1 HOUR,42401
436,1982-05-27,0,1 HOUR,42401
437,1982-05-27,0,1 HOUR,42401
438,1982-05-28,0,1 HOUR,42401
439,1982-05-28,0,1 HOUR,42401
440,1982-05-29,0,1 HOUR,42401
441,1982-05-29,0,1 HOUR,42401
442,1982-05-30,0,1 HOUR,42401
443,1982-05-30,0,1 HOUR,42401
444,1982-05-31,0,1 HOUR,42401
445,1982-05-31,0,1 HOUR,42401
446,1982-06-01,0,1 HOUR,42401
447,1982-06-01,0,1 HOUR,42401
448,1982-06-02,0,1 HOUR,42401
449,1982-06-02,0,1 HOUR,42401
450,1982-06-03,0,1 HOUR,42401
451,1982-06-03,0,1 HOUR,42401
452,1982-06-04,0,1 HOUR,42401
453,1982-06-04,0,1 HOUR,42401
454,1982-06-05,0,1 HOUR,42401
455,1982-06-05,0,1 HOUR,42401
456,1982-06-06,0,1 HOUR,42401
457,1982-06-06,0,1 HOUR,42401
458,1982-06-07,0,1 HOUR,42401
459,1982-06-07,0,1 HOUR,42401
460,1982-06-08,0,1 HOUR,42401
461,1982-06-08,0,1 HOUR,42401
462,1982-06-09,0,1 HOUR,42401
463,1982-06-09,0,1 HOUR,42401
464,1982-06-10,0,1 HOUR,42401
465,1982-06-10,0,1 HOUR,42401
466,1982-06-11,0,1 HOUR,42401
467,1982-06-11,0,1 HOUR,42401
468,1982-06-12,0,1 HOUR,42401
469,1982-06-12,0,1 HOUR,42401
470,1982-06-13,0,1 HOUR,42401
471,1982-06-13,0,1 HOUR,42401
472,1982-06-14,0,1 HOUR,42401
473,1982-06-14,0,1 HOUR,42401
474,1982-06-15,0,1 HOUR,42401
475,1982-06-15,0,1 HOUR,42401
476,1982-06-16,0,1 HOUR,42401
477,1982-06-16,0,1 HOUR,42401
478,1982-06-17,0,1 HOUR,42401
479,1982-06-17,0,1 HOUR,42401
480,1982-06-18,0,1 HOUR,42401
481,1982-06-18,0,1 HOUR,42401
482,1982-06-19,0,1 HOUR,42401
483,1982-06-19,0,1 HOUR,42401
484,1982-06-20,0,1 HOUR,42401
485,1982-06-20,0,1 HOUR,42401
486,1982-06-21,0,1 HOUR,42401
487,1982-06-21,0,1 HOUR,42401
488,1982-06-22,10,1 HOUR,42401
489,1982-06-22,10,1 HOUR,42401
490,1982-06-23,0,1 HOUR,42401
491,1982-06-23,0,1 HOUR,42401
492,1982-06-24,0,1 HOUR,42401
493,1982-06-24,0,1 HOUR,42401
494,1982-06-25,0,1 HOUR,42401
495,1982-06-25,0,1 HOUR,42401
496,1982-06-26,0,1 HOUR,42401
497,1982-06-26,0,1 HOUR,42401
498,1982-06-27,0,1 HOUR,42401
499,1982-06-27,0,1 HOUR,42401
500,1982-06-28,0,1 HOUR,42401
501,1982-06-28,0,1 HOUR,42401
502,1982-06-29,0,1 HOUR,42401
503,1982-06-29,0,1 HOUR,42401
504,1982-06-30,0,1 HOUR,42401
505,1982-06-30,0,1 HOUR,42401
506,1982-07-01,0,1 HOUR,42401
507,1982-07-01,0,1 HOUR,42401
508,1982-07-02,0,1 HOUR,42401
509,1982-07-02,0,1 HOUR,42401
510,1982-07-03,0,1 HOUR,42401
511,1982-07-03,0,1 HOUR,42401
512,1982-07-04,9,1 HOUR,42401
513,1982-07-04,9,1 HOUR,42401
514,1982-07-05,0,1 HOUR,42401
515,1982-07-05,0,1 HOUR,42401
516,1982-07-06,0,1 HOUR,42401
517,1982-07-06,0,1 HOUR,42401
518,1982-07-07,0,1 HOUR,42401
519,1982-07-07,0,1 HOUR,42401
520,1982-07-08,0,1 HOUR,42401
521,1982-07-08,0,1 HOUR,42401
522,1982-07-09,9,1 HOUR,42401
523,1982-07-09,9,1 HOUR,42401
524,1982-07-10,0,1 HOUR,42401
525,1982-07-10,0,1 HOUR,42401
526,1982-07-11,0,1 HOUR,42401
