,Date,AQI,Sample_Duration,Pollutant_Type
310,1989-04-22,41,24 HOUR,81102
311,1989-04-28,12,24 HOUR,81102
312,1989-05-04,20,24 HOUR,81102
313,1989-05-10,58,24 HOUR,81102
314,1989-05-16,18,24 HOUR,81102
315,1989-05-22,21,24 HOUR,81102
316,1989-05-28,14,24 HOUR,81102
317,1989-06-03,15,24 HOUR,81102
318,1989-06-09,15,24 HOUR,81102
319,1989-06-15,13,24 HOUR,81102
320,1989-06-21,12,24 HOUR,81102
321,1989-07-09,13,24 HOUR,81102
322,1989-07-15,24,24 HOUR,81102
323,1989-08-02,24,24 HOUR,81102
324,1989-08-20,13,24 HOUR,81102
325,1989-09-13,16,24 HOUR,81102
326,1989-09-19,10,24 HOUR,81102
327,1989-09-25,16,24 HOUR,81102
328,1989-10-01,24,24 HOUR,81102
329,1989-10-07,10,24 HOUR,81102
330,1989-10-13,15,24 HOUR,81102
331,1989-10-19,20,24 HOUR,81102
332,1989-10-25,22,24 HOUR,81102
333,1989-10-31,8,24 HOUR,81102
334,1989-11-18,10,24 HOUR,81102
335,1989-11-24,6,24 HOUR,81102
336,1989-11-30,8,24 HOUR,81102
337,1989-12-06,7,24 HOUR,81102
338,1989-12-24,3,24 HOUR,81102
339,1989-12-30,6,24 HOUR,81102
340,1990-01-05,14,24 HOUR,81102
341,1990-01-23,5,24 HOUR,81102
342,1990-01-29,52,24 HOUR,81102
343,1990-02-04,7,24 HOUR,81102
344,1990-02-10,7,24 HOUR,81102
345,1990-02-16,15,24 HOUR,81102
346,1990-02-23,29,24 HOUR,81102
347,1990-02-28,17,24 HOUR,81102
348,1990-03-06,22,24 HOUR,81102
349,1990-03-12,8,24 HOUR,81102
350,1990-03-18,7,24 HOUR,81102
351,1990-04-05,10,24 HOUR,81102
352,1990-04-11,9,24 HOUR,81102
353,1990-04-17,15,24 HOUR,81102
354,1990-04-23,13,24 HOUR,81102
355,1990-04-29,17,24 HOUR,81102
356,1990-05-05,12,24 HOUR,81102
357,1990-05-11,10,24 HOUR,81102
358,1990-05-17,7,24 HOUR,81102
359,1990-05-23,18,24 HOUR,81102
360,1990-05-29,20,24 HOUR,81102
361,1990-06-04,8,24 HOUR,81102
362,1990-06-10,18,24 HOUR,81102
363,1990-06-16,9,24 HOUR,81102
364,1990-06-22,14,24 HOUR,81102
365,1990-06-28,19,24 HOUR,81102
366,1990-07-04,11,24 HOUR,81102
367,1990-07-10,12,24 HOUR,81102
368,1990-07-16,17,24 HOUR,81102
369,1990-07-22,11,24 HOUR,81102
370,1990-07-28,13,24 HOUR,81102
371,1990-08-03,22,24 HOUR,81102
372,1990-08-09,44,24 HOUR,81102
373,1990-08-15,15,24 HOUR,81102
374,1990-08-21,13,24 HOUR,81102
375,1990-08-27,14,24 HOUR,81102
376,1990-09-02,21,24 HOUR,81102
377,1990-09-08,32,24 HOUR,81102
378,1990-09-14,19,24 HOUR,81102
379,1990-09-20,10,24 HOUR,81102
380,1990-09-26,28,24 HOUR,81102
381,1990-10-02,31,24 HOUR,81102
382,1990-10-08,17,24 HOUR,81102
383,1990-10-14,6,24 HOUR,81102
384,1990-10-20,13,24 HOUR,81102
385,1990-10-26,143,24 HOUR,81102
386,1990-10-26,143,24 HOUR,81102
387,1990-11-01,18,24 HOUR,81102
388,1990-11-07,14,24 HOUR,81102
389,1990-11-13,15,24 HOUR,81102
390,1990-11-19,14,24 HOUR,81102
391,1990-11-25,13,24 HOUR,81102
392,1990-12-13,9,24 HOUR,81102
393,1990-12-19,13,24 HOUR,81102
394,1990-12-25,11,24 HOUR,81102
395,1991-01-06,7,24 HOUR,81102
396,1991-01-12,7,24 HOUR,81102
397,1991-01-18,5,24 HOUR,81102
398,1991-01-24,36,24 HOUR,81102
399,1991-01-30,9,24 HOUR,81102
400,1991-02-05,9,24 HOUR,81102
401,1991-02-11,17,24 HOUR,81102
402,1991-02-17,8,24 HOUR,81102
403,1991-02-23,8,24 HOUR,81102
404,1991-03-01,17,24 HOUR,81102
405,1991-03-07,19,24 HOUR,81102
406,1991-03-13,11,24 HOUR,81102
407,1991-03-19,15,24 HOUR,81102
408,1991-03-25,11,24 HOUR,81102
409,1991-03-31,9,24 HOUR,81102
410,1991-04-06,12,24 HOUR,81102
411,1991-04-12,30,24 HOUR,81102
412,1991-04-18,6,24 HOUR,81102
413,1991-04-24,20,24 HOUR,81102
414,1991-04-30,6,24 HOUR,81102
415,1991-05-06,11,24 HOUR,81102
416,1991-05-12,10,24 HOUR,81102
417,1991-05-18,14,24 HOUR,81102
418,1991-05-24,15,24 HOUR,81102
419,1991-05-30,16,24 HOUR,81102
420,1991-06-05,19,24 HOUR,81102
421,1991-06-11,14,24 HOUR,81102
422,1991-06-17,10,24 HOUR,81102
423,1991-06-23,9,24 HOUR,81102
424,1991-06-29,10,24 HOUR,81102
425,1991-07-05,11,24 HOUR,81102
426,1991-07-11,11,24 HOUR,81102
427,1991-07-17,18,24 HOUR,81102
428,1991-07-23,16,24 HOUR,81102
429,1991-07-29,18,24 HOUR,81102
430,1991-08-04,9,24 HOUR,81102
431,1991-08-10,16,24 HOUR,81102
432,1991-08-16,19,24 HOUR,81102
433,1991-08-22,25,24 HOUR,81102
434,1991-09-09,3,24 HOUR,81102
435,1991-09-15,7,24 HOUR,81102
436,1991-09-21,12,24 HOUR,81102
437,1991-09-27,12,24 HOUR,81102
438,1991-10-03,10,24 HOUR,81102
439,1991-10-09,31,24 HOUR,81102
440,1991-10-15,27,24 HOUR,81102
441,1991-10-21,14,24 HOUR,81102
442,1991-10-27,14,24 HOUR,81102
443,1991-11-02,8,24 HOUR,81102
444,1991-11-08,8,24 HOUR,81102
445,1991-11-14,12,24 HOUR,81102
446,1991-11-20,13,24 HOUR,81102
447,1991-11-26,6,24 HOUR,81102
448,1991-12-02,14,24 HOUR,81102
449,1991-12-08,5,24 HOUR,81102
450,1991-12-14,7,24 HOUR,81102
451,1991-12-20,15,24 HOUR,81102
452,1991-12-26,14,24 HOUR,81102
453,1992-01-01,14,24 HOUR,81102
454,1992-01-07,13,24 HOUR,81102
455,1992-01-13,7,24 HOUR,81102
456,1992-01-19,5,24 HOUR,81102
457,1992-01-25,10,24 HOUR,81102
458,1992-01-31,12,24 HOUR,81102
459,1992-02-06,9,24 HOUR,81102
460,1992-02-12,9,24 HOUR,81102
461,1992-02-18,5,24 HOUR,81102
462,1992-02-24,13,24 HOUR,81102
463,1992-03-01,11,24 HOUR,81102
464,1992-03-07,3,24 HOUR,81102
465,1992-03-13,8,24 HOUR,81102
466,1992-03-19,11,24 HOUR,81102
467,1992-03-25,11,24 HOUR,81102
468,1992-03-31,8,24 HOUR,81102
469,1992-04-06,8,24 HOUR,81102
470,1992-04-12,15,24 HOUR,81102
471,1992-04-18,9,24 HOUR,81102
472,1992-04-24,9,24 HOUR,81102
473,1992-04-30,23,24 HOUR,81102
474,1992-05-06,23,24 HOUR,81102
475,1992-05-12,6,24 HOUR,81102
476,1992-05-18,19,24 HOUR,81102
477,1992-05-24,7,24 HOUR,81102
478,1992-05-30,11,24 HOUR,81102
479,1992-06-05,4,24 HOUR,81102
480,1992-06-11,6,24 HOUR,81102
481,1992-06-17,13,24 HOUR,81102
482,1992-06-23,18,24 HOUR,81102
483,1992-06-29,11,24 HOUR,81102
484,1992-07-05,10,24 HOUR,81102
485,1992-07-11,6,24 HOUR,81102
486,1992-07-17,15,24 HOUR,81102
487,1992-07-23,12,24 HOUR,81102
488,1992-07-29,11,24 HOUR,81102
489,1992-08-04,8,24 HOUR,81102
490,1992-08-10,12,24 HOUR,81102
491,1992-08-16,24,24 HOUR,81102
492,1992-08-22,9,24 HOUR,81102
493,1992-08-28,12,24 HOUR,81102
494,1992-09-03,10,24 HOUR,81102
495,1992-09-09,9,24 HOUR,81102
496,1992-09-15,17,24 HOUR,81102
497,1992-09-21,10,24 HOUR,81102
498,1992-09-27,6,24 HOUR,81102
499,1992-10-03,18,24 HOUR,81102
500,1992-10-09,12,24 HOUR,81102
501,1992-10-15,7,24 HOUR,81102
502,1992-10-21,24,24 HOUR,81102
503,1992-10-27,13,24 HOUR,81102
504,1992-11-02,7,24 HOUR,81102
505,1992-11-08,6,24 HOUR,81102
506,1992-11-14,11,24 HOUR,81102
507,1992-11-20,7,24 HOUR,81102
508,1992-11-26,6,24 HOUR,81102
509,1992-12-02,13,24 HOUR,81102
510,1992-12-08,19,24 HOUR,81102
511,1992-12-14,12,24 HOUR,81102
512,1992-12-20,10,24 HOUR,81102
513,1992-12-26,9,24 HOUR,81102
514,1993-01-01,9,24 HOUR,81102
515,1993-01-07,13,24 HOUR,81102
516,1993-01-31,5,24 HOUR,81102
517,1993-02-06,11,24 HOUR,81102
518,1993-02-12,10,24 HOUR,81102
519,1993-02-18,12,24 HOUR,81102
520,1993-02-24,14,24 HOUR,81102
521,1993-03-02,13,24 HOUR,81102
522,1993-03-08,14,24 HOUR,81102
523,1993-03-14,12,24 HOUR,81102
524,1993-03-20,13,24 HOUR,81102
525,1993-03-26,21,24 HOUR,81102
526,1993-04-01,9,24 HOUR,81102
527,1993-04-07,12,24 HOUR,81102
528,1993-04-13,13,24 HOUR,81102
529,1993-04-19,10,24 HOUR,81102
530,1993-04-25,10,24 HOUR,81102
531,1993-05-01,16,24 HOUR,81102
532,1993-05-07,10,24 HOUR,81102
533,1993-05-13,24,24 HOUR,81102
534,1993-05-19,25,24 HOUR,81102
535,1993-05-25,14,24 HOUR,81102
536,1993-05-31,6,24 HOUR,81102
537,1993-06-06,10,24 HOUR,81102
538,1993-06-12,7,24 HOUR,81102
539,1993-06-18,12,24 HOUR,81102
540,1993-06-24,7,24 HOUR,81102
541,1993-06-30,12,24 HOUR,81102
542,1993-07-07,16,24 HOUR,81102
543,1993-07-12,10,24 HOUR,81102
544,1993-07-18,9,24 HOUR,81102
545,1993-07-24,6,24 HOUR,81102
546,1993-07-30,15,24 HOUR,81102
547,1993-08-05,14,24 HOUR,81102
548,1993-08-11,21,24 HOUR,81102
549,1993-08-17,14,24 HOUR,81102
550,1993-08-23,18,24 HOUR,81102
551,1993-08-29,8,24 HOUR,81102
552,1993-09-04,8,24 HOUR,81102
553,1993-09-10,15,24 HOUR,81102
554,1993-09-16,8,24 HOUR,81102
555,1993-09-28,14,24 HOUR,81102
556,1993-10-04,16,24 HOUR,81102
557,1993-10-10,9,24 HOUR,81102
558,1993-10-28,9,24 HOUR,81102
559,1993-11-03,19,24 HOUR,81102
560,1993-11-09,9,24 HOUR,81102
561,1993-11-15,7,24 HOUR,81102
562,1993-11-21,12,24 HOUR,81102
563,1993-11-27,7,24 HOUR,81102
564,1993-12-03,8,24 HOUR,81102
565,1993-12-09,7,24 HOUR,81102
566,1993-12-15,8,24 HOUR,81102
567,1993-12-21,14,24 HOUR,81102
568,1993-12-27,13,24 HOUR,81102
569,1994-01-02,8,24 HOUR,81102
570,1994-01-08,13,24 HOUR,81102
571,1994-01-14,52,24 HOUR,81102
572,1994-01-20,10,24 HOUR,81102
573,1994-01-26,12,24 HOUR,81102
574,1994-02-01,11,24 HOUR,81102
575,1994-02-07,9,24 HOUR,81102
576,1994-02-13,5,24 HOUR,81102
577,1994-02-19,6,24 HOUR,81102
578,1994-02-25,5,24 HOUR,81102
579,1994-03-03,7,24 HOUR,81102
580,1994-03-09,14,24 HOUR,81102
581,1994-03-15,11,24 HOUR,81102
582,1994-04-02,8,24 HOUR,81102
583,1994-04-09,9,24 HOUR,81102
584,1994-04-14,7,24 HOUR,81102
585,1994-04-20,11,24 HOUR,81102
586,1994-04-26,5,24 HOUR,81102
587,1994-05-02,7,24 HOUR,81102
588,1994-05-08,22,24 HOUR,81102
589,1994-05-14,11,24 HOUR,81102
590,1994-05-20,4,24 HOUR,81102
591,1994-05-26,10,24 HOUR,81102
592,1994-06-01,11,24 HOUR,81102
593,1994-06-07,11,24 HOUR,81102
594,1994-06-13,8,24 HOUR,81102
595,1994-06-19,9,24 HOUR,81102
596,1994-06-25,14,24 HOUR,81102
597,1994-07-01,11,24 HOUR,81102
598,1994-07-13,9,24 HOUR,81102
599,1994-07-19,9,24 HOUR,81102
600,1994-07-25,11,24 HOUR,81102
601,1994-07-31,18,24 HOUR,81102
602,1994-08-06,24,24 HOUR,81102
603,1994-08-12,13,24 HOUR,81102
604,1994-08-19,44,24 HOUR,81102
605,1994-08-24,56,24 HOUR,81102
606,1994-08-31,18,24 HOUR,81102
607,1994-09-05,9,24 HOUR,81102
608,1994-09-11,16,24 HOUR,81102
609,1994-09-17,15,24 HOUR,81102
610,1994-09-23,39,24 HOUR,81102
611,1994-09-29,30,24 HOUR,81102
612,1994-10-05,5,24 HOUR,81102
613,1994-10-11,22,24 HOUR,81102
614,1994-10-29,3,24 HOUR,81102
615,1994-11-04,9,24 HOUR,81102
616,1994-11-10,9,24 HOUR,81102
617,1994-11-16,7,24 HOUR,81102
618,1994-11-22,12,24 HOUR,81102
619,1994-11-28,3,24 HOUR,81102
620,1994-12-04,5,24 HOUR,81102
621,1994-12-10,6,24 HOUR,81102
622,1994-12-16,4,24 HOUR,81102
623,1994-12-22,10,24 HOUR,81102
624,1994-12-28,11,24 HOUR,81102
625,1995-01-15,11,24 HOUR,81102
626,1995-01-21,10,24 HOUR,81102
627,1995-01-27,18,24 HOUR,81102
628,1995-02-02,5,24 HOUR,81102
629,1995-02-08,11,24 HOUR,81102
630,1995-02-26,21,24 HOUR,81102
631,1995-03-04,17,24 HOUR,81102
632,1995-03-10,13,24 HOUR,81102
633,1995-03-16,10,24 HOUR,81102
634,1995-03-22,11,24 HOUR,81102
635,1995-03-28,6,24 HOUR,81102
636,1995-04-03,9,24 HOUR,81102
637,1995-04-09,9,24 HOUR,81102
638,1995-04-21,8,24 HOUR,81102
639,1995-04-27,8,24 HOUR,81102
640,1995-05-03,11,24 HOUR,81102
641,1995-05-09,15,24 HOUR,81102
642,1995-05-15,15,24 HOUR,81102
643,1995-05-21,11,24 HOUR,81102
644,1995-05-27,6,24 HOUR,81102
645,1995-06-02,12,24 HOUR,81102
646,1995-06-08,12,24 HOUR,81102
647,1995-06-14,22,24 HOUR,81102
648,1995-06-20,15,24 HOUR,81102
649,1995-06-26,39,24 HOUR,81102
650,1995-07-02,20,24 HOUR,81102
651,1995-07-08,16,24 HOUR,81102
652,1995-07-14,15,24 HOUR,81102
653,1995-07-20,31,24 HOUR,81102
654,1995-07-26,18,24 HOUR,81102
655,1995-08-01,15,24 HOUR,81102
656,1995-08-07,23,24 HOUR,81102
657,1995-08-25,18,24 HOUR,81102
658,1995-08-31,21,24 HOUR,81102
659,1995-09-06,8,24 HOUR,81102
660,1995-09-20,6,24 HOUR,81102
